City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Desc
141,Bambous Virieux,MU,-20.3428,57.7575,80.22,94,75,23.02,light rain
142,Phan Thiet,VN,10.9333,108.1,73.04,87,89,3.65,overcast clouds
143,Varzea Da Palma,BR,-17.5981,-44.7308,71.6,93,77,2.44,light rain
144,Sangar,RU,63.9242,127.4739,-13.4,93,100,7.72,overcast clouds
145,Saint-Philippe,RE,-21.3585,55.7679,85.59,91,100,28.19,moderate rain
146,Souillac,MU,-20.5167,57.5167,80.37,94,75,23.02,broken clouds
147,Japura,ID,-0.3167,102.35,72.41,98,100,1.7,overcast clouds
148,Tiarei,PF,-17.5333,-149.3333,86.02,72,50,16.64,scattered clouds
149,Coquimbo,CL,-29.9533,-71.3436,65.93,72,0,13.8,clear sky
150,Swellendam,ZA,-34.0226,20.4417,64.78,78,85,3.29,overcast clouds
151,Hot Springs,US,34.5037,-93.0552,67.73,94,100,6.91,mist
152,Yellowknife,CA,62.456,-114.3525,-10.59,79,20,11.5,few clouds
153,Sergeyevka,KZ,53.88,67.4158,23.9,95,100,9.73,overcast clouds
154,Stribro,CZ,49.7529,13.0041,38.86,78,77,17.78,broken clouds
155,Carnarvon,AU,-24.8667,113.6333,80.67,74,65,14.97,broken clouds
156,Grindavik,IS,63.8424,-22.4338,36.07,93,100,46.04,heavy intensity rain
157,Leningradskiy,RU,69.3833,178.4167,-27.8,97,90,7.72,overcast clouds
158,Hambantota,LK,6.1241,81.1185,76.06,87,3,4.21,clear sky
159,Biak,ID,-0.9131,122.8766,75.6,84,100,7.4,overcast clouds
160,Dikson,RU,73.5069,80.5464,14.05,93,100,14.79,light snow
161,Narsaq,GL,60.9167,-46.05,-0.18,78,8,6.44,clear sky
162,Hamadan,IR,34.7992,48.5146,29.28,93,0,6.91,clear sky
163,Mar Del Plata,AR,-38.0023,-57.5575,68.02,91,75,14.97,broken clouds
164,Saurimo,AO,-9.6608,20.3916,64.11,96,97,3.2,overcast clouds
165,Shimanovsk,RU,52.0,127.7,-8.57,91,8,6.71,clear sky
166,Batsfjord,NO,70.6345,29.7185,23.22,86,0,2.3,clear sky
167,Adre,TD,13.4667,22.2,65.77,16,10,13.69,clear sky
168,Fortuna,US,40.5982,-124.1573,47.93,87,100,11.5,moderate rain
169,Sakakah,SA,29.9697,40.2064,49.57,45,19,4.45,few clouds
170,Ostrovnoy,RU,68.0531,39.5131,19.6,85,100,6.15,overcast clouds
171,Eucaliptus,BO,-17.5833,-67.5167,55.09,61,91,5.79,overcast clouds
172,Goderich,CA,43.7501,-81.7165,39.52,81,100,6.91,overcast clouds
173,Pinega,RU,64.7001,43.3936,4.78,100,92,3.6,overcast clouds
174,Hargeysa,SO,9.56,44.065,59.4,97,46,10.76,scattered clouds
175,Kalundborg,DK,55.6795,11.0886,39.94,79,54,14.18,broken clouds
176,Thunder Bay,CA,48.4001,-89.3168,-0.44,58,100,11.5,overcast clouds
177,Vallenar,CL,-28.5708,-70.7581,74.77,42,0,6.44,clear sky
178,Mitchell,US,43.7094,-98.0298,11.73,85,100,19.57,overcast clouds
179,Salalah,OM,17.0151,54.0924,71.69,73,0,3.44,clear sky
180,Khatanga,RU,71.9667,102.5,4.42,92,100,7.38,overcast clouds
181,Upernavik,GL,72.7868,-56.1549,-24.86,99,95,6.6,overcast clouds
182,Orsha,BY,54.5153,30.4053,35.67,98,100,10.94,light rain
183,Namibe,AO,-15.1961,12.1522,76.55,81,92,5.39,overcast clouds
184,Westport,US,41.1415,-73.3579,50.29,66,0,4.61,clear sky
185,Lake Havasu City,US,34.4839,-114.3224,76.32,25,0,19.57,clear sky
186,Luderitz,NA,-26.6481,15.1594,71.04,61,34,18.66,scattered clouds
187,Samarai,PG,-10.6167,150.6667,84.11,74,100,8.59,overcast clouds
188,Muzhi,RU,65.3667,64.6667,15.13,97,96,5.12,overcast clouds
189,Korla,CN,41.7597,86.1469,27.9,45,0,4.54,clear sky
190,Liezen,AT,47.5667,14.2333,37.13,96,97,3.94,snow
191,Severo-Kurilsk,RU,50.6789,156.125,31.75,82,97,16.02,overcast clouds
192,Simao,CN,22.7886,100.9748,48.96,98,100,2.48,overcast clouds
193,Ondangwa,NA,-17.9167,15.95,77.0,78,53,3.44,broken clouds
194,Te Anau,NZ,-45.4167,167.7167,57.34,95,100,2.51,light rain
195,The Valley,AI,18.217,-63.0578,78.94,69,20,12.66,few clouds
196,Vicente Guerrero,MX,19.1194,-98.1708,78.19,14,1,10.8,clear sky
197,Gold Coast,AU,-28.0,153.4333,83.25,86,40,5.75,scattered clouds
198,Taraza,CO,7.5836,-75.4007,79.77,77,82,3.31,broken clouds
199,Riverton,US,40.5219,-111.9391,37.27,59,100,12.66,light rain
200,Cam Ranh,VN,11.9214,109.1591,71.56,73,40,14.97,scattered clouds
201,New Norfolk,AU,-42.7826,147.0587,60.93,40,14,2.62,few clouds
202,Victoria,HK,22.2855,114.1577,51.24,94,99,5.01,overcast clouds
203,Touros,BR,-5.1989,-35.4608,81.5,75,97,13.38,overcast clouds
204,Bonawon,PH,9.134,122.9193,78.3,80,100,9.82,overcast clouds
205,Puerto El Triunfo,SV,13.2833,-88.55,91.56,47,66,8.28,broken clouds
206,Prainha,BR,-1.8,-53.48,76.44,92,98,3.42,overcast clouds
207,Lorengau,PG,-2.0226,147.2712,77.61,90,100,8.77,overcast clouds
208,Tiruchchendur,IN,8.4833,78.1167,79.38,79,46,3.56,scattered clouds
209,Jining,CN,35.405,116.5814,29.5,39,68,5.66,broken clouds
210,Saskylakh,RU,71.9167,114.0833,2.14,98,87,6.15,overcast clouds
