City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
286,Pokrovsk,UA,48.282,37.1758,35.6,89,100,8.25,overcast clouds
287,Ayan,RU,56.45,138.1667,-4.22,84,26,8.52,scattered clouds
288,Salamanca,ES,40.8333,-6.0,49.78,76,45,7.56,scattered clouds
289,Kristianstad,SE,56.0313,14.1524,36.95,94,0,8.05,clear sky
290,Beloha,MG,-25.1667,45.05,72.57,92,71,9.06,broken clouds
291,Bubaque,GW,11.2833,-15.8333,76.44,74,100,20.27,overcast clouds
292,Srednekolymsk,RU,67.45,153.6833,-12.26,98,100,6.08,overcast clouds
293,Nanortalik,GL,60.1432,-45.2371,22.17,94,100,26.22,snow
294,Torbay,CA,47.6666,-52.7314,31.28,70,75,19.57,broken clouds
295,Nipawin,CA,53.3668,-104.0009,-9.36,70,0,3.44,clear sky
296,Yeppoon,AU,-23.1333,150.7333,82.18,90,39,11.32,scattered clouds
297,Kieta,PG,-6.2167,155.6333,78.33,81,100,1.39,light rain
298,Pisco,PE,-13.7,-76.2167,75.25,73,0,10.36,clear sky
299,Koson,UZ,39.0375,65.585,52.12,41,5,6.8,clear sky
300,Naze,JP,28.3667,129.4833,52.02,66,0,9.33,clear sky
301,Auxerre,FR,47.8,3.5667,49.86,89,100,5.03,overcast clouds
302,Sinnai,IT,39.3042,9.2036,50.52,54,20,6.91,few clouds
303,Mao,ES,39.8885,4.2658,54.16,76,20,10.36,few clouds
304,Georgetown,MY,5.4112,100.3354,78.73,94,40,2.3,scattered clouds
305,Shingu,JP,33.7333,135.9833,48.9,80,0,6.8,clear sky
306,Lagoa,PT,39.05,-27.9833,57.67,65,93,20.09,overcast clouds
307,Los Llanos De Aridane,ES,28.6585,-17.9182,63.12,76,40,16.11,scattered clouds
308,Ribeira Grande,PT,38.5167,-28.7,61.2,51,20,18.41,few clouds
309,Canico,PT,32.6333,-16.85,67.06,86,40,2.3,scattered clouds
310,Gat,IL,31.61,34.7642,71.4,42,100,6.35,overcast clouds
311,Rocha,UY,-34.4833,-54.3333,87.57,28,0,15.39,clear sky
312,Khandyga,RU,62.6667,135.6,-34.37,100,96,0.67,overcast clouds
313,Norman Wells,CA,65.282,-126.8329,5.04,61,75,18.41,broken clouds
314,Vila Do Maio,CV,15.1333,-23.2167,75.99,81,0,21.88,clear sky
315,Metro,ID,-5.1131,105.3067,73.98,81,92,3.22,overcast clouds
316,Kalmunai,LK,7.4167,81.8167,75.78,87,100,9.62,moderate rain
317,Hasaki,JP,35.7333,140.8333,45.0,86,100,18.54,overcast clouds
318,Clyde River,CA,70.4692,-68.5914,7.03,85,100,29.93,light snow
319,Boguchany,RU,58.3814,97.4531,10.89,83,100,12.88,overcast clouds
320,La Ronge,CA,55.1001,-105.2842,-5.55,45,0,5.75,clear sky
321,Slave Lake,CA,55.2834,-114.769,17.58,86,100,12.66,overcast clouds
322,Cobija,BO,-11.0267,-68.7692,91.58,58,75,3.44,broken clouds
323,Constitucion,CL,-35.3333,-72.4167,71.19,66,7,15.66,clear sky
324,Santa Maria,BR,-29.6842,-53.8069,87.1,42,20,4.61,few clouds
325,Canto Do Buriti,BR,-8.11,-42.9444,85.01,59,100,1.97,overcast clouds
326,Ligayan,PH,4.6533,119.4706,80.44,81,9,7.56,clear sky
327,Talakan,RU,50.3167,130.3667,-11.34,100,96,0.6,overcast clouds
328,Pyinmana,MM,19.7333,96.2167,71.24,38,10,2.86,clear sky
329,Rodrigues Alves,BR,-7.738,-72.6509,80.8,49,88,1.39,light rain
330,Ochakiv,UA,46.6128,31.5498,37.85,84,100,11.63,overcast clouds
331,Bobbili,IN,18.5667,83.3667,70.65,62,0,1.28,clear sky
332,Monte Alegre De Minas,BR,-18.8706,-48.8808,88.45,54,45,5.88,scattered clouds
333,Kabanjahe,ID,3.1001,98.4908,63.36,96,100,2.62,light rain
334,Menongue,AO,-14.6585,17.691,63.77,95,100,3.87,moderate rain
335,Necochea,AR,-38.5473,-58.7368,72.03,49,0,15.77,clear sky
336,Road Town,VG,18.4167,-64.6167,82.44,69,40,10.36,scattered clouds
337,Xining,CN,36.6167,101.7667,30.24,46,100,1.52,overcast clouds
338,Paamiut,GL,61.994,-49.6678,16.48,92,100,10.96,light snow
339,Uige,AO,-7.6087,15.0613,70.2,88,100,0.72,overcast clouds
340,Novoseleznevo,RU,55.6821,69.2056,17.89,89,52,14.63,broken clouds
341,Nisia Floresta,BR,-6.0911,-35.2086,90.41,59,100,10.42,overcast clouds
342,Fortuna,US,40.5982,-124.1573,63.43,80,75,5.75,broken clouds
343,Rio Gallegos,AR,-51.6226,-69.2181,51.85,62,100,19.57,overcast clouds
344,Kalasin,TH,16.5,103.5,77.05,99,2,6.02,clear sky
345,General Pico,AR,-35.6566,-63.7568,85.42,27,0,8.7,clear sky
